column_name,type,fuzzy_mapping,a1_ID
company_name,string,Company name,a1_ID
registered_number,string,Registered number,a1_ID
ticker_symbol,string,Ticker symbol,a1_ID
ro_address,string,R/O Address,a1_ID
ro_address_line_1,string,R/O Address, line 1,a1_ID
ro_address_line_2,string,R/O Address, line 2,a1_ID
ro_address_line_3,string,R/O Address, line 3,a1_ID
ro_address_line_4,string,R/O Address, line 4,a1_ID
ro_address_line_5,string,R/O Address, line 5,a1_ID
ro_city,string,R/O City,a1_ID
ro_county,string,R/O County,a1_ID
ro_postcode,string,R/O Postcode,a1_ID
ro_full_postcode,string,R/O Full Postcode,a1_ID
ro_country,string,R/O Country,a1_ID
ro_latitude,string,R/O Latitude,a1_ID
ro_longitude,string,R/O Longitude,a1_ID
ro_nuts_region,string,R/O NUTS region,a1_ID
ro_postal_region,string,R/O Postal region,a1_ID
ro_phone,string,R/O Phone,a1_ID
ro_phone_registered_on_tps,string,R/O Phone registered on TPS,a1_ID
ro_phone_registered_on_ctps,string,R/O Phone registered on CTPS,a1_ID
primary_trading_address,string,Primary trading address,a1_ID
primary_trading_address_latitude,string,Primary trading address Latitude,a1_ID
primary_trading_address_longitude,string,Primary trading address Longitude,a1_ID
primary_trading_address_no_of_employees,string,Primary trading address No of employees,a1_ID
branch_name,string,Branch name,a1_ID
trade_description,string,Trade description,a1_ID
primary_uk_sic_2007_code,string,Primary UK SIC (2007) code,a1_ID
primary_uk_sic_2007_description,string,Primary UK SIC (2007) description,a1_ID
full_overview,string,Full overview,a1_ID
history,string,History,a1_ID
primary_business_line,string,Primary business line,a1_ID
secondary_business_line,string,Secondary business line,a1_ID
main_activity,string,Main activity,a1_ID
secondary_activity,string,Secondary activity,a1_ID
main_products_and_services,string,Main products and services,a1_ID
size_estimate,string,Size estimate,a1_ID
strategy_organization_and_policy,string,Strategy, organization and policy,a1_ID
strategic_alliances,string,Strategic alliances,a1_ID
membership_of_a_network,string,Membership of a network,a1_ID
main_brand_names,string,Main brand names,a1_ID
main_domestic_country,string,Main domestic country,a1_ID
main_foreign_countries_or_regions,string,Main foreign countries or regions,a1_ID
main_production_sites,string,Main production sites,a1_ID
main_distribution_sites,string,Main distribution sites,a1_ID
main_sales_representation_sites,string,Main sales representation sites,a1_ID
main_customers,string,Main customers,a1_ID
latest_accounts_date,date,Latest accounts date,a1_ID
no_of_available_years,int32,No of available years,a1_ID
data_av_ptaddress,boolean,,a1_ID
data_av_ptaddress_latlong,boolean,,a1_ID

