pcd7,pcd8,pcds,dointr,doterm,usrtypind,east1m,north1m,gridind,oa21cd,cty25cd,ced25cd,lad25cd,wd25cd,nhser24cd,ctry25cd,rgn25cd,pcon24cd,ttwa15cd,itl25cd,npark16cd,lsoa21cd,msoa21cd,wz11cd,sicbl26cd,bua24cd,ruc21ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,icb26cd,ttwa_name
HP4 2TF,HP4  2TF,HP4 2TF,199002,199112,1,502100,209200,8,E00118663,E10000015,E58000610,E07000096,E05004695,E40000013,E92000001,E12000006,E14001268,E30000237,E07000096,E65000001,E01023355,E02004861,E33027108,E38000079,E63011530,RSN1,5B3,51.77218,-0.521643,E37000048,,E23000027,29748,E54000065,Luton
SE6 2NH,SE6  2NH,SE6 2NH,199002,199212,1,537700,173000,8,E00016782,E13000001,E99999999,E09000023,E05013730,E40000003,E92000001,E12000007,E14001331,E30000234,E09000023,E65000001,E01003318,E02000672,E33035301,E38000244,E63012161,UN1,3A2,51.439266,-0.020181,E37000051,,E23000001,2640,E54000030,London
L65 4HD,L65  4HD,L65 4HD,198001,199906,1,343800,375800,8,E00188916,E99999999,E99999999,E06000050,E05012253,E40000014,E92000001,E12000002,E14001222,K01000011,E06000050,E65000001,E01018552,E02003849,E33007522,E38000233,E63008655,UN1,8C3,53.276204,-2.844258,E37000003,,E23000006,8400,E54000008,Chester
OL102NH,OL10 2NH,OL10 2NH,198001,,0,386275,409372,1,E00027879,E11000001,E99999999,E08000005,E05014039,E40000014,E92000001,E12000002,E14001286,E30000239,E08000005,E65000001,E01005508,E02001151,E33005360,E38000080,E63008209,UN1,6B4,53.580774,-2.208771,E37000015,,E23000005,25558,E54000057,Manchester
CB9 9EJ,CB9  9EJ,CB9 9EJ,198704,,0,565979,246213,1,E00153542,E10000029,E58001760,E07000245,E05012779,E40000013,E92000001,E12000006,E14001578,E30000186,E07000245,E65000001,E01030118,E02006285,E33028577,E38000204,E63010824,UF1,8C1,52.089389,0.421286,E37000052,,E23000025,11884,E54000068,Cambridge
LS196JP,LS19 6JP,LS19 6JP,198001,,0,422114,438210,1,E00057712,E11000006,E99999999,E08000035,E05011547,E40000012,E92000001,E12000003,E14001322,E30000229,E08000035,E65000001,E01011458,E02002356,E33012237,E38000225,E63007823,UN1,6B4,53.839688,-1.665424,E37000062,,E23000010,31253,E54000054,Leeds
PO7 7GA,PO7  7GA,PO7 7GA,201407,,0,467172,110298,1,E00184984,E10000014,E58000598,E07000094,E05011000,E40000005,E92000001,E12000008,E14001233,E30000254,E07000094,E65000001,E01023232,E02004842,E33042685,E38000266,E63013621,UN1,5B3,50.888264,-1.046384,E37000046,,E23000030,23227,E54000067,Portsmouth
DL1 1BW,DL1  1BW,DL1 1BW,198001,,0,431235,514321,1,E00062258,E99999999,E99999999,E06000005,E05010428,E40000012,E92000001,E12000001,E14001190,E30000199,E06000005,E65000001,E01035184,E02002567,E33001714,E38000247,E63007428,UN1,8A2,54.523233,-1.518952,E37000034,,E23000008,16777,E54000050,Darlington
WS112ZH,WS11 2ZH,WS11 2ZH,199806,200101,1,398844,311458,6,E00149551,E10000028,E58001810,E07000192,E05015743,E40000011,E92000001,E12000005,E14001150,E30000288,E07000192,E65000001,E01029352,E02006125,E33021980,E38000028,E63009591,UN1,8C1,52.700811,-2.018539,E37000012,E37000032,E23000015,15163,E54000010,Wolverhampton and Walsall
SG137XY,SG13 7XY,SG13 7XY,200606,200607,1,532987,212543,1,E00119256,E10000015,E58000639,E07000242,E05015365,E40000013,E92000001,E12000006,E14001283,E30000186,E07000242,E65000001,E01023477,E02004894,E33024201,E38000049,E63011465,UN1,5A3,51.79574,-0.072952,E37000048,,E23000027,27352,E54000065,Cambridge
